37,3437.0,12.7,153.35,234.19,101.3,56.0,45.6,106.4,46.2,344.29,69.0,44.2,47.9,100.3,0.68,nan,157.0
103,3640.5,11.11,235.66,390.0,107.79,62.0,nan,105.0,42.72,498.6,117.47,63.3,50.8,103.7,0.68,nan,187.0
119,3653.0,11.11,285.65,399.2,121.68,68.0,36.0,104.42,49.18,470.29,145.03,63.6,54.9,87.4,0.684,5.83,243.23
21,3277.8,11.11,271.55,365.7,103.6,45.3,nan,106.47,46.1,460.41,117.3,44.5,53.9,103.2,0.67,nan,201.0
46,3284.0,7.94,241.12,335.2,88.7,51.0,27.0,104.68,27.2,215.34,55.4,44.5,40.5,89.7,0.66,nan,201.0
132,3424.5,14.3,149.96,221.2,104.43,50.6,nan,106.7,50.58,346.7,73.12,44.2,50.2,104.0,0.65,nan,164.0
24,3284.0,9.53,240.0,328.1,91.2,59.1,34.9,104.84,35.7,312.61,72.7,44.5,40.5,88.9,0.66,nan,182.0
15,3667.0,9.53,256.0,359.3,96.6,55.0,33.4,105.57,33.69,353.22,77.99,63.3,48.3,92.8,0.67,nan,174.0
111,3667.0,7.94,252.0,354.33,102.93,56.0,nan,105.3,33.0,234.86,56.07,57.2,50.86,100.9,0.66,nan,188.0
128,3424.5,11.11,182.39,257.9,103.06,42.3,nan,106.47,42.63,295.81,71.29,44.2,50.2,102.6,0.65,nan,191.0
16,3579.0,11.11,213.43,312.27,103.19,61.0,41.2,105.2,41.11,395.0,85.5,62.57,51.15540983606558,93.7,0.66,nan,172.0
77,3650.0,12.7,299.56,437.3,103.11,74.0,103.6,105.47,51.38,654.56,230.98,63.6,55.4,93.8,0.6822,8.4,280.56
52,3650.0,7.94,337.11,458.6,91.05,60.0,90.3,105.6,31.18,287.95,106.66,63.6,55.4,89.6,0.6822,3.72,294.59
138,3576.3,9.53,233.5,364.6,101.3,58.8,37.6,103.0,38.6,290.59,104.7,56.8,56.5,92.9,0.6694,3.7,288.6
2,3526.4955882352942,9.53,215.0,333.79205882352943,100.37,58.0,nan,104.97132352941176,37.54,285.0,55.4,30.0,51.15540983606558,92.9,0.67,nan,152.0
73,3579.0,7.94,259.61,365.86,103.47,52.0,27.2,105.9,28.09,243.64,70.73,62.57,51.15540983606558,93.2,0.66,nan,230.0
65,3667.0,7.94,264.0,362.8,95.6,49.0,26.1,105.54,26.44,243.22,61.33,63.3,48.3,93.1,0.67,nan,198.0
25,3437.0,11.11,175.23,256.21,101.2,54.0,40.9,106.5,41.0,305.59,63.0,44.2,47.9,100.1,0.68,nan,161.0
121,3284.0,11.11,229.0,318.0,98.0,63.3,41.4,104.85,42.5,409.23,86.3,44.5,40.5,91.0,0.66,nan,165.0
118,3576.3,12.7,191.6,347.4,98.4,64.7,46.2,102.0,46.1,434.66,121.3,56.8,56.5,89.2,0.6694,5.22,223.56
9,3576.3,11.11,213.4,357.1,101.6,63.6,42.8,102.6,43.4,368.04,114.3,56.8,56.5,91.4,0.6694,4.52,248.79
26,3276.0,11.11,252.0,357.12,97.0,66.0,42.8,105.24,43.7,452.11,117.6,44.5,48.3,95.3,0.67,nan,204.0
134,3653.0,9.53,298.57,403.4,111.38,64.0,32.0,104.42,42.44,366.22,118.28,63.6,54.9,88.8,0.684,4.59,254.84
98,3576.3,9.53,199.5,286.4,106.36,57.5,38.8,102.64,38.98,251.7,76.8,56.8,48.3,90.7,0.675,3.08,241.13
110,3650.0,15.87,256.21,414.0,109.78,75.0,110.2,105.36,55.51,846.82,302.62,63.6,55.4,87.7,0.6822,10.93,284.08
124,3668.5,12.7,223.89,326.0,94.89,64.0,42.7,104.74,42.91,514.1,91.24,72.54,48.4,88.8,0.66,nan,139.0
